"time_s","lin_acc_x","lin_acc_y","lin_acc_z","lin_acc_abs"
1.380904050E1,-4.964336455E-1,-8.737558126E-2,-1.290753365E0,1.385685789E0
1.382764936E1,-5.162314773E-1,2.109014988E-2,-2.168123722E0,2.228833822E0
1.384621264E1,-5.528261662E-1,-7.272452116E-2,-1.999702454E0,2.075985436E0
1.386473029E1,-5.554120541E-1,-4.234125018E-1,-9.258518219E-1,1.159725094E0
1.388329352E1,-6.076633930E-1,-7.138750553E-1,-4.692277908E-1,1.048354479E0
1.390185852E1,-8.003296256E-1,-8.649012446E-1,-5.571060181E-1,1.303437297E0
1.392046686E1,-7.868031263E-1,-8.279948235E-1,-7.573566437E-1,1.370483007E0
1.393903008E1,-6.571714282E-1,-8.452811241E-1,-6.135225296E-1,1.234011491E0
1.395754660E1,-7.719829082E-1,-7.464573383E-1,-1.798114777E-1,1.088801330E0
1.397610988E1,-8.724780083E-1,-6.761311293E-1,1.907167435E-1,1.120153586E0
1.399467316E1,-1.003038883E0,-5.895205140E-1,1.668930054E-1,1.175361524E0
1.401323644E1,-1.105742216E0,-3.322500587E-1,-1.427364349E-1,1.163369950E0
1.403184529E1,-8.993752003E-1,-1.033259630E-1,-4.461288452E-1,1.009248707E0
1.405036295E1,-5.201184750E-1,1.187962294E-1,-4.468431473E-1,6.959199454E-1
1.406892623E1,-2.161951363E-1,2.156221271E-1,-2.120094299E-1,3.717273692E-1
1.408753623E1,2.247929573E-3,1.682134271E-1,-1.336011887E-1,2.148257150E-1
1.410609837E1,-5.534106493E-2,1.676008105E-1,-3.592977524E-1,4.003093054E-1
1.412461602E1,1.624619067E-1,1.985903978E-1,-6.806602478E-1,7.274134933E-1
1.414317925E1,3.521196544E-1,2.688840628E-1,-8.793268204E-1,9.846332044E-1
1.416174253E1,4.970693886E-1,2.855548859E-1,-1.015243530E0,1.165906941E0
1.418035258E1,4.378843904E-1,3.521603346E-1,-1.110198021E0,1.244306749E0
1.419910248E1,1.892465353E-1,2.854415178E-1,-1.141625404E0,1.191889120E0
1.421799071E1,-2.825726867E-1,2.623211145E-1,-1.051736832E0,1.120183045E0
1.423692524E1,-3.149390221E-1,2.754302025E-1,-8.649835587E-1,9.608563580E-1
1.425590618E1,-1.097298861E-1,4.435963035E-1,-7.027750015E-1,8.382786119E-1
1.427484180E1,1.072980165E-1,5.463255048E-1,-7.768878937E-1,9.557924570E-1
1.429372863E1,-5.521553755E-2,6.411167979E-1,-7.036600113E-1,9.535286654E-1
1.431266310E1,-2.583127022E-1,6.920519471E-1,-2.244682312E-1,7.720410199E-1
1.433159764E1,-4.807450771E-1,6.258398294E-1,-7.373046875E-2,7.926080389E-1
1.435053472E1,-6.985465288E-1,6.599613428E-1,-1.081647873E-1,9.670655863E-1
1.436951415E1,-8.452849984E-1,9.646192789E-1,-1.601505280E-1,1.292534438E0
1.438840102E1,-8.407161832E-1,1.234909058E0,-1.993179321E-4,1.493922395E0
1.440733555E1,-1.003215313E0,1.369890451E0,7.383289337E-1,1.851531914E0
1.442631472E1,-1.145173550E0,1.196416378E0,1.599061012E0,2.302136123E0
1.444487790E1,-1.133499146E0,1.057130337E0,1.720039368E0,2.315357486E0
1.446344227E1,-1.118884087E0,1.243659258E0,1.694005013E0,2.380807202E0
1.448195883E1,-1.040400982E0,1.475719452E0,1.594548225E0,2.408893137E0
1.450052212E1,-9.442756772E-1,1.523953438E0,1.944797516E0,2.645057280E0
1.451910128E1,-6.188900471E-1,1.242975235E0,2.594845772E0,2.942997945E0
1.453766446E1,-3.949865103E-1,6.354114413E-1,2.935581207E0,3.029422233E0
1.455622774E1,-5.116199851E-1,4.023416638E-1,3.313886642E0,3.377199802E0
1.457477519E1,-8.663393259E-1,4.379202724E-1,2.944097519E0,3.100004547E0
1.459333842E1,-1.075641870E0,4.900580049E-1,2.023629189E0,2.343552298E0
1.461191758E1,-1.061220884E0,7.663966417E-1,1.288847923E0,1.837030905E0
1.463048081E1,-7.488313913E-1,6.203750968E-1,7.230043411E-1,1.211754509E0
1.464902821E1,-6.716496348E-1,1.400644183E-1,5.729618073E-1,8.938772320E-1
1.466759149E1,-8.572165370E-1,-3.919488192E-1,7.551450729E-1,1.207761628E0
1.468620061E1,-1.681180835E0,-5.817688704E-1,5.822401047E-1,1.871851372E0
1.470476363E1,-2.683979511E0,-4.695526063E-1,6.833066940E-1,2.809116179E0
1.472332691E1,-2.806015015E0,-5.061648488E-1,1.005392075E0,3.023365069E0
1.474184456E1,-2.061828613E0,-3.980900347E-1,1.796286583E0,2.763378077E0
1.476040779E1,-8.934257030E-1,-2.590887547E-1,1.352084160E0,1.641178858E0
1.477900373E1,4.942517281E-1,-4.155932069E-1,3.601074219E-1,7.393780086E-1
1.479758102E1,5.806757212E-1,-3.334673643E-1,-2.042875290E-1,7.000844026E-1
1.481614321E1,-3.440531492E-1,-6.392109394E-2,5.484390259E-2,3.542122660E-1
1.483466087E1,-1.081882834E0,1.445084810E-1,2.402887344E-1,1.117627775E0
1.485322410E1,-1.268495560E0,3.036550879E-1,6.470050812E-1,1.455988658E0
1.487183300E1,-9.199961424E-1,7.542342544E-1,2.160024643E0,2.465962017E0
1.489038331E1,2.342816591E-1,8.422541618E-1,3.519043922E0,3.626010217E0
1.490891389E1,1.660934091E0,3.364454508E-1,4.971268654E0,5.252181416E0
1.492747717E1,1.175419331E0,-1.206371784E-1,4.153929710E0,4.318714620E0
1.494604493E1,6.118804216E-1,-5.640385151E-1,2.406328201E0,2.546164274E0
1.496461951E1,6.421412230E-1,-5.014412403E-1,9.383287430E-1,1.242678356E0
1.498318274E1,1.194712162E0,-5.051048994E-1,-8.666820526E-1,1.560001888E0
1.500171727E1,2.303541422E0,-6.951772571E-1,-2.054563999E0,3.163986051E0
1.502029347E1,2.690726995E0,-1.286913753E0,-2.776148796E0,4.074697646E0
1.503890342E1,7.067348957E-1,-1.455838680E0,-3.332425594E0,3.704591856E0
1.505745264E1,-1.069526672E0,-2.062630653E0,-4.632725716E0,5.182709723E0
1.507602889E1,-1.807803631E0,-2.633117914E0,-6.050046444E0,6.841383332E0
1.509454649E1,-1.487115979E0,-2.105582237E0,-5.642061234E0,6.203051302E0
1.511309680E1,7.638535500E-1,-1.345550299E0,-3.434823513E0,3.767225825E0
1.513171863E1,2.763352394E0,-5.307726860E-1,2.023582458E-1,2.821131858E0
1.515028305E1,4.011737823E0,-4.431008399E-1,2.627613068E0,4.816090650E0
1.516879956E1,2.788797379E0,-5.608245134E-1,2.422416687E0,3.736310688E0
1.518736279E1,1.011617899E0,-1.503440380E0,-2.473974228E-1,1.828909302E0
1.520597170E1,7.352318168E-1,-2.222270966E0,-3.022924900E0,3.823235413E0
1.522452212E1,1.423975587E0,-2.311203957E0,-3.617344379E0,4.522670733E0
1.524309821E1,2.434187651E0,-2.411468506E0,-1.737094879E0,3.841607540E0
1.526161581E1,3.527424335E0,-2.390923977E0,1.012084007E0,4.379903417E0
1.528016618E1,4.680738449E0,-2.256057024E0,3.655214310E0,6.352928252E0
1.529878795E1,2.885215521E0,-2.384479046E0,3.679878235E0,5.248972542E0
1.531735123E1,2.019155025E-2,-2.642716885E0,2.797871590E0,3.848694020E0
1.533590264E1,-2.235544682E0,-2.739887714E0,1.774486542E0,3.956443756E0
1.535443212E1,-2.647085667E0,-2.217990160E0,9.069385529E-1,3.570585444E0
1.537299540E1,-9.526420832E-1,-1.611422658E0,3.070487976E-1,1.896968341E0
1.539156154E1,1.283380270E0,-7.974351645E-1,7.754611969E-2,1.512937923E0
1.541013774E1,2.928060770E0,-3.065642715E-1,-2.987651825E-1,2.959186064E0
1.542868514E1,2.921628952E0,-5.296987295E-2,-1.974134445E-1,2.928769982E0
1.544724842E1,1.607298136E0,-4.594250023E-1,-3.842258453E-2,1.672110919E0
1.546585836E1,1.012470722E-1,-7.934396863E-1,1.049613953E-2,7.999422944E-1
1.548442055E1,-8.239500523E-1,-7.680006027E-1,-7.103443146E-2,1.128611760E0
1.550298389E1,-7.116960287E-1,-9.026849270E-1,-3.184556961E-1,1.192797277E0
1.552150144E1,-8.524990082E-2,-7.393198013E-1,-7.698974609E-1,1.070795692E0
1.554006472E1,7.963936329E-1,-1.163524985E-1,-9.063539505E-1,1.212129616E0
1.555863660E1,1.163300395E0,2.589318752E-1,-1.439053535E0,1.868472264E0
1.557723686E1,3.296345472E-1,2.682953477E-1,-1.862275600E0,1.910160135E0
1.559580008E1,-5.082254410E-1,-1.720541716E-2,-1.998852730E0,2.062523057E0
